ticker,companies
ABC,AMERISOURCEBERGEN CORP
ABMD,ABIOMED INC
ADRO,ADURO BIOTECH CVR
AERI,AERIE PHARMACEUTICALS INC
AIMC,ALTRA INDUSTRIAL MOTION CORP
AJRD,AEROJET ROCKETDYNE HOLDINGS INC
ALBO,ALBIREO PHARMA INC
AMOT,ALLIED MOTION TECHNOLOGIES INC
AMRS,AMYRIS INC
AQUA,EVOQUA WATER TECHNOLOGIES CORP
ARD,ARDAGH GROUP SA CLASS A
ARGO,ARGO GROUP INTERNATIONAL HOLDINGS
ARNC,ARCONIC CORP
ATVI,ACTIVISION BLIZZARD INC
AVID,AVID TECHNOLOGY INC
BBBY,BED BATH AND BEYOND INC
BCOR,BLUCORA INC
BFA,BROWN FORMAN CORP CLASS A
BFB,BROWN FORMAN CORP CLASS B
BGCP,BGC PARTNERS INC CLASS A
BKI,BLACK KNIGHT INC
BRKB,BERKSHIRE HATHAWAY INC CLASS B
BRMK,BROADMARK REALTY CAPITAL INC
BTRS,BTRS HOLDINGS INC CLASS
CCF,CHASE CORP
CINC,CINCOR PHARMA INC
CIR,CIRCOR INTERNATIONAL INC
CLR,CONTINENTAL RESOURCES INC
CORZ,CORE SCIENTIFIC INC
COUP,COUPA SOFTWARE INC
COWN,COWEN INC CLASS A
CSII,CARDIOVASCULAR SYSTEMS INC
CTIC,CTI BIOPHARMA CORP
CVT,CVENT HOLDING CORP
CWENA,CLEARWAY ENERGY INC CLASS A
DCT,DUCK CREEK TECH INC
DEN,DENBURY INC
DICE,DICE THERAPEUTICS INC
DSEY,DIVERSEY HOLDINGS LTD
ECOM,CHANNELADVISOR CORP
EQRX,EQRX INC
ESTE,EARTHSTONE ENERGY INC CLASS A
EVOP,EVO PAYMENTS INC CLASS A
FBC,FLAGSTAR BANCORP INC
FBHS,FORTUNE BRANDS HOME AND SECURITY I
FISV,FISERV INC
FOCS,FOCUS FINANCIAL PARTNERS INC CLASS
FORG,FORGEROCK INC CLASS A
FRC,FIRST REPUBLIC BANK
FRG,FRANCHISE GROUP INC
GEFB,GREIF INC CLASS B
GTXI,GTXI INC - CVR
HCCI,HERITAGE CRYSTAL INC
HEIA,HEICO CORP CLASS A
HHC,HOWARD HUGHES CORP
HSC,HARSCO CORP
HSKA,HESKA CORP
HT,HERSHA HOSPITALITY REIT TRUST CLAS
HZNP,HORIZON THERAPEUTICS PUBLIC PLC
IAA,IAA INC
ICPT,INTERCEPT PHARMACEUTICALS INC
IMGO,IMAGO BIOSCIENCES INC
INDT,INDUS REALTY TRUST INC
INT,WORLD FUEL SERVICES CORP
ISEE,IVERIC BIO INC
KDNY,CHINOOK THERAPEUTICS INC
KNBE,KNOWBE4 INC CLASS A
LENB,LENNAR CORP CLASS B
LFG,ARCHAEA ENERGY INC CLASS A
LGFA,LIONS GATE ENTERTAINMENT VOTING CO
LGFB,LIONS GATE ENTERTAINMENT NON VOTIN
LHCG,LHC GROUP INC
LNDC,LANDEC CORP
LPI,LAREDO PETROLEUM INC
LSI,LIFE STORAGE INC
MAXR,MAXAR TECHNOLOGIES INC
MGI,MONEYGRAM INTERNATIONAL INC
MNRL,BRIGHAM MINERALS INC CLASS A
MNTV,MOMENTIVE GLOBAL INC
MOGA,MOOG INC CLASS A
NATI,NATIONAL INSTRUMENTS CORP
NCR,NCR CORP
NEWR,NEW RELIC INC
NEX,NEXTIER OILFIELD SOLUTIONS INC
NUVA,NUVASIVE INC
NXGN,NEXTGEN HEALTHCARE INC
OBNK,ORIGIN BANCORP INC
OFC,CORPORATE OFFICE PROPERTIES TRUST
ONEM,1LIFE HEALTHCARE INC
OSH,OAK STREET HEALTH INC
OSTK,OVERSTOCK COM INC
PACW,PACWEST BANCORP
PAYA,PAYA HOLDINGS INC CLASS A
PDCE,PDC ENERGY INC
PFHC,PROFRAC HOLDING CORP
PFHD,PROFESSIONAL HOLDING CORP CLASS A
PKI,PERKINELMER INC
PNT,POINT BIOPHARMA GLOBAL INC
POSH,POSHMARK INC CLASS A
PRVB,PROVENTION BIO INC
PTRA,PROTERRA INC
RAD,RITE AID CORP
RADI,RADIUS GLOBAL INFRASTRUCTURE INC C
RCII,RENT-A-CENTER INC
RE,EVEREST RE GROUP LTD
RETA,REATA PHARMACEUTICALS INC CLASS A
RFP,RESOLUTE FOREST PRODUCTS INC
RIDE,LORDSTOWN MOTORS CORP CLASS A
ROCC,RANGER OIL CORP CLASS A
RPT,RPT REALTY
RUTH,RUTHS HOSPITALITY GROUP INC
RXDX,PROMETHEUS BIOSCIENCES INC
SCHN,SCHNITZER STEEL INDUSTRIES INC CLA
SGEN,SEAGEN INC
SGFY,SIGNIFY HEALTH INC CLASS A
SI,SILVERGATE CAPITAL CLASS A CORP
SIVB,SVB FINANCIAL GROUP
SJI,S JERSEY INDS INC
SPNE,SEASPINE HOLDINGS CORP
SRNE,SORRENTO THERAPEUTICS INC
STAR,ISTAR REIT INC
STOR,STORE CAPITAL CORP
SUMO,SUMO LOGIC INC
SWCH,SWITCH INC CLASS A
SYNH,SYNEOS HEALTH INC CLASS A
TA,TRAVELCENTERS OF AMERICA INC
TBK,TRIUMPH BANCORP INC
TCDA,TRICIDA INC
TEN,TENNECO INC CLASS A
TFM,FRESH MARKET ESCROW
Ticker,Name
TRTN,TRITON INTERNATIONAL LTD
TTCF,TATTOOED CHEF INC CLASS A
TWNK,HOSTESS BRANDS INC CLASS A
UBA,URSTADT BIDDLE PROPERTIES REIT INC
UHALB,AMERCO NON VOTING SERIES N
UMPQ,UMPQUA HOLDINGS CORP
UNVR,UNIVAR SOLUTIONS INC
USER,USERTESTING INC
VIVO,MERIDIAN BIOSCIENCE INC
VLTA,VOLTA INC CLASS A
VMW,VMWARE CLASS A INC
VRAY,VIEWRAY INC
VRTV,VERITIV CORP
VVNT,VIVINT SMART HOME INC CLASS A
WE,WEWORK INC CLASS A
WLLAW,CHORD ENERGY EQUITY WARRANTS EXP S
WLLBW,CHORD ENERGY EQUITY WARRANTS SERIE
WWE,WORLD WRESTLING ENTERTAINMENT INC
ZEN,ZENDESK INC
ZGNX,ZOGENIX INC CVR
